House,AR,R,Tom,Cotton,0.689,36,-31,,
House,CO,R,Cory,Gardner,0.527,37,-24,,
House,IL,D,Tammy,Duckworth,-0.267,-31,29,,
House,IN,R,Todd,Young,0.544,29,-19,,
House,LA,R,Bill,Cassidy,0.477,29,-14,,
House,MD,D,Chris,Van Hollen,-0.405,-41,34,,
House,MA,D,Ed,Markey,-0.512,-46,44,,
House,MI,D,Gary,Peters,-0.224,-48,21,,
House,MT,R,Steve,Daines,0.501,25,-16,,
House,OK,R,James,Lankford,0.58,44,-28,,
House,WV,R,Shelley Moore,Capito,0.268,18,-28,Shelley,
Senate,AL,R,Jeff,Sessions,0.545,38,-37,,
Senate,AL,R,Richard,Shelby,0.428,33,-37,,
Senate,AK,R,Lisa,Murkowski,0.192,25,-30,,
Senate,AZ,R,Jeff,Flake,0.958,44,-21,,
Senate,AZ,R,John,McCain,0.378,22,-11,,
Senate,AR,R,John,Boozman,0.415,44,-39,,
Senate,CA,D,Dianne,Feinstein,-0.279,-33,22,,
Senate,CO,D,Michael,Bennet,-0.231,-33,9,,
Senate,CN,D,Richard,Blumenthal,-0.417,-46,15,,
Senate,CN,D,Chris,Murphy,-0.317,-48,30,,
Senate,DE,D,Chris,Coons,-0.314,-44,2,,
Senate,DE,D,Tom,Carper,-0.182,-27,17,,
Senate,FL,R,Marco,Rubio,0.579,27,-39,,
Senate,FL,D,Bill,Nelson,-0.196,-34,22,,
Senate,GA,R,Johnny,Isakson,0.416,39,-39,,
Senate,HI,D,Mazie,Hirono,-0.511,-48,28,,
Senate,HI,D,Brian,Schatz,-0.477,-14,20,,
Senate,ID,R,Jim,Risch,0.672,36,-40,,
Senate,ID,R,Michael,Crapo,0.501,33,-41,Mike,
Senate,IN,D,Joe,Donnelly,-0.125,-32,-15,,
Senate,IA,R,Chuck,Grassley,0.343,38,-37,,
Senate,KS,R,Jerry,Moran,0.431,33,-35,,
Senate,KS,R,Pat,Roberts,0.419,41,-39,,
Senate,KY,R,Rand,Paul,0.974,33,10,,
Senate,ME,R,Susan,Collins,0.088,-1,8,,
Senate,ME,D,Angus,King,-0.184,-16,19,,
Senate,MD,D,Ben,Cardin,-0.337,-41,33,,
Senate,MA,D,Elizabeth,Warren,-0.681,-41,30,,
Senate,MI,D,Debbie,Stabenow,-0.335,-42,25,,
Senate,MN,D,Amy,Klobuchar,-0.254,-42,15,,
Senate,MN,D,Al,Franken,-0.433,-44,41,,
Senate,MS,R,Thad,Cochran,0.291,30,-35,,
Senate,MS,R,Roger,Wicker,0.388,38,-40,,
Senate,MO,D,Claire,McCaskill,-0.164,-35,7,,
Senate,MO,R,Roy,Blunt,0.453,41,-37,,
Senate,MT,D,Jon,Tester,-0.23,-36,16,,
Senate,NE,R,Deb,Fischer,0.488,36,-30,,
Senate,NV,R,Dean,Heller,0.473,18,-12,,
Senate,NH,D,Jeanne,Shaheen,-0.294,-28,10,,
Senate,NJ,D,Bob,Menendez,-0.372,-48,25,,
Senate,NJ,D,Cory,Booker,-0.461,-28,30,,
Senate,NM,D,Martin,Heinrich,-0.284,-38,21,,
Senate,NM,D,Tom,Udall,-0.46,-46,38,,
Senate,NY,D,Charles,Schumer,-0.362,-48,12,Chuck,
Senate,NC,R,Richard,Burr,0.469,39,-42,,
Senate,ND,D,Heidi,Heitkamp,-0.209,-6,-6,,
Senate,ND,R,John,Hoeven,0.339,14,-28,,
Senate,OH,D,Sherrod,Brown,-0.452,-50,35,,
Senate,OH,R,Rob,Portman,0.388,41,-27,,
Senate,OK,R,James,Inhofe,0.556,47,-46,Jim,
Senate,OR,D,Jeff,Merkley,-0.396,-42,11,,
Senate,OR,D,Ron,Wyden,-0.324,-39,27,,
Senate,PA,D,Bob,Casey,-0.308,-41,-1,,
Senate,PA,R,Pat,Toomey,0.656,36,-46,,
Senate,RI,D,Sheldon,Whitehouse,-0.457,-48,36,,
Senate,RI,D,Jack,Reed,-0.401,-46,28,,
Senate,SC,R,Tim,Scott,0.731,42,-32,,
Senate,SC,R,Lindsey,Graham,0.422,30,-34,,
Senate,SD,R,John,Thune,0.416,41,-37,,
Senate,TN,R,Bob,Corker,0.378,18,-27,,
Senate,TN,R,Lamar,Alexander,0.324,30,-31,,
Senate,TX,R,John,Cornyn,0.517,38,-46,,
Senate,TX,R,Ted,Cruz,0.943,44,-34,,
Senate,UT,R,Mike,Lee,0.986,41,-31,,
Senate,UT,R,Orrin,Hatch,0.388,44,-40,,
Senate,VT,D,Bernie,Sanders,-0.523,-46,47,,
Senate,VT,D,Patrick,Leahy,-0.386,-46,38,,
Senate,VA,D,Tim,Kaine,-0.26,-37,10,,
Senate,VA,D,Mark,Warner,-0.222,-6,-6,,
Senate,WA,D,Maria,Cantwell,-0.301,-36,33,,
Senate,WA,D,Patty,Murray,-0.357,-40,33,,
Senate,WV,D,Joe,Manchin III,-0.069,-8,-10,,Manchin
Senate,WI,R,Ron,Johnson,0.677,41,-30,,
Senate,WI,D,Tammy,Baldwin,-0.565,-46,44,,
Senate,WY,R,John,Barrasso,0.554,35,-29,,
